,Extracted Colleges,DT Colleges
14,"['MM University', 'Paratap Public School -  Karnal, Haryana', 'Silver Bells Public School -  Muzaffarnagar, Uttar Pradesh', 'Engineering College']","['Silver Bells Public School -  Muzaffarnagar, Uttar Pradesh', 'Paratap Public School -  Karnal, Haryana', 'MM University']"
15,"['SSVPS’s Late B. S. Deore College of Engineering ,Dhule -  Dhule, Maharashtra']",['SSVPS’s Late B. S. Deore College of Engineering']
16,"['Lovely Professional University', 'Secondary School Certificate in education', 'Sister Nivedita School -  Karimnagar, Telangana']","['Sister Nivedita School ', 'Lovely Professional University']"
17,[],['inDR N.G.P ARTS AND SCIENCE COLLEGE ']
18,"['Dayananda Sagar College of Engineering -  Sagar, Karnataka']",[]
19,"['Kuppam Engineering College -  Kuppam, Andhra Pradesh', 'Padmavani High School']","['Padmavani High School\n', 'Vani Jr college', 'Kuppam Engineering College']"
20,[],"['Rajah college\n', 'PES college']"
21,"['• Bachelors in Commerce (B.Com) from Vivekananda Degree College, Bangalore', 'University(2007)', '• Pre University from Vivekananda PU College, Bangalore(2004)', '• Pre University from Vivekananda PU College, Bangalore(2004)', '• Passed 10th STD from Angels High School, Bangalore(2002)']","['Vivekananda PU College', 'Vivekananda Degree College, Bangalore\nUniversity']"
22,[],['Meghnad saha institute of technology\n']
23,"['• A certified business analyst from BCS, The Chartered Institute for IT with proficiency in', 'Amity University -  Lucknow, Uttar Pradesh', 'Canossa Convent Girls Inter College', 'Canossa Convent School']","['Canossa Convent School\n', 'Canossa Convent Girls Inter College\n', 'Amity University ']"
24,"['Visveswaraiah Technological University -  Bengaluru, Karnataka', 'Al-Ameen PU College', 'Rajiv Gandhi Institute of Technology']","['Rajiv Gandhi Institute of Technology', 'Al-Ameen PU College', 'Visveswaraiah Technological University']"
25,[],['KIIT college of Engg.']
26,"['Mangalore University, Mangalore', 'Bachelor of computer application: with 74% from Milagres College, Kallianpur under', 'Mangalore University, Karnataka.']",[]
27,"['Vedanta College of management and information technology -  Mumbai, Maharashtra', 'Guru Nanak English High School and Jr cllg']","['Guru Nanak English High School and Jr cllg', 'Vedanta College of management and information technology']"
28,[],['UPTU. India']
29,"['Central India Institute', 'Technical University']",['Central India Institute\n']
30,[],"['IIIT', 'VIT']"
31,['Vijaya High School'],"['Vijaya High School', 'Vijaya composite p.u. college', 'Vtu ']"
32,['Institute of Road and Transport May'],['Institute of Road and Transport May']
33,"['Vellore Institute of Technology -  Vellore, Tamil Nadu', 'Notre Dame Academy -  Patna, Bihar']","['Notre Dame Academy ', 'Vellore Institute of Technology ']"
34,"['B.Tech From Annamacharya Institute of Technology, JNTU Hyderabad - 2015 ', 'Annamacharya Institute of Technology, JNTU, Hyderabad -  Hyderabad, Telangana']","['Annamacharya Institute of Technology', 'Annamacharya Institute of Technology']"
35,"['Visvesvaraya Technological University', 'Dayanand Sagar College of Engineering Bangalore (Visvesvaraya Technological University) -', 'Dayanand Sagar College of Engineering Bangalore (Visvesvaraya Technological University) -']","['Visvesvaraya Technological University', 'Dayanand Sagar College of Engineering', 'Visvesvaraya Technological University']"
36,"['Polytechnic College Damoh -  Sagar, Madhya Pradesh']",[]
37,"['Karnataka State University', 'Aptech Institute of Technology', 'Aptech Institute of Technology']","['Aptech Institute of Technology', 'Aptech Institute of Technology', 'Karnataka State University\n', 'IGNOU\n']"
38,"['North Maharashtra University', 'Institute/Board']",['North Maharashtra University\n']
39,['Vaughn College of Aeronautics and Technology'],['Vaughn College of Aeronautics and Technology']
40,"['Goa Institute of Management -  Goa', 'Uttar Pradesh Technical University -  Ghaziabad, Uttar Pradesh']",[]
41,"['Texas A&M University -  Kingsville, TX', 'Nagarjuna University']","['Nagarjuna University', 'Texas A&M University -  Kingsville, TX\n']"
42,"['Dayananda Sagar College of Engineering -  Bengaluru, Karnataka', 'Govt Science College -  Hassan, Karnataka']","['Govt Science College', 'Dayananda Sagar College of Engineering']"
43,[],"['pragathi high school', 'narayana jr.college', 'vasundhara womens']"
44,"['Anna University', 'Anna University']","['Anna University', 'Anna University']"
45,"['• Done B.E. from Padmshree Dr. D.Y.Patil Institute of Engineering and Technology, Pimpri, Pune', 'University.', 'Pune University']",['Pune University']
46,[],['Govt. High school Yernalli']
47,"['ITM University Gwalior -  Gwalior, Madhya Pradesh']",['ITM University Gwalior']
48,"['Anna University Chennai -  Chennai, Tamil Nadu']",['Anna University Chennai ']
49,"['Punjab Technical University (PTU) Jalhandar', 'Punjab Technical University']","['CDAC Mohali ', 'CDAC', 'Punjab Technical University\n', 'Punjab Technical University (PTU)', 'CDAC']"
50,['Amrita School of Engineering'],['Amrita School of Engineering']
51,"['Great Lakes Institute Of Management -  Chennai, Tamil Nadu', 'Adhiparasakthi Engineering College (Anna University)', 'Adhiparasakthi Engineering College (Anna University)']","['Adhiparasakthi Engineering College (Anna University)', 'Great Lakes Institute Of Management']"
52,[],"['VSSUT,burla\n']"
53,"['Mount Carmel Institute of Management -  Bengaluru, Karnataka']",['Mount Carmel Institute of Management']
54,"['GMR Institute of Technology and Management -  Kakinada, Andhra Pradesh', 'Pratibha Junior College', 'S.R high School -  Chennai, Tamil Nadu']","['S.R high School -  Chennai, Tamil Nadu\n', 'Pratibha Junior College', 'GMR Institute of Technology and Management']"
55,"['Bihar School Examination Board -  Patna, Bihar']","['Dr. R.M.L.S COLLEGE', 'R.D.S COLLEGE ']"
56,"['Dr MGR University Chennai -  Chennai, Tamil Nadu']",['Dr MGR University Chennai']
57,['Padmanava College of Engineering'],"[""St. Joseph's convent school\n"", 'Padmanava College of Engineering\n']"
58,[],['JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY\n']
59,"['M. V. G. R College of Engineering -  Vizianagaram, Andhra Pradesh', 'Gowtham Jr. College -  Vijayawada, Andhra Pradesh', 'Vignan Vidyalayam High School -  Visakhapatnam, Andhra Pradesh']","['Vignan Vidyalayam High School', 'Gowtham Jr. College -', 'M. V. G. R College of Engineering']"
60,['Kalinga Institute of Industrial Technology'],['Kalinga Institute of Industrial Technology\n']
61,"['National Institute Of Technology', ""St. John's School""]","[""\nSt. John's School\n"", 'National Institute Of Technology\n']"
62,"['Saranathan College of Engineering -  Tiruchchirappalli, Tamil Nadu']",['Saranathan College of Engineering ']
63,['Shivaji University'],"['Shivaji University', 'Maharashtra Board\n', 'Maharashtra Board\n']"
64,"['➢ Completed training of OCA (9i, 10g) from Oracle University.', 'Vivekananda Engineering College for Women -  Chennai, Tamil Nadu', 'Frankfinn Institute of Airhostess Training -  Calicut, Kerala']","['Frankfinn Institute of Airhostess Training ', 'Vivekananda Engineering College for Women']"
65,"['Vivekananda Engineering College for Women -  Chennai, Tamil Nadu', 'Frankfinn Institute of Airhostess Training -  Calicut, Kerala', '➢ Completed training of OCA (9i, 10g) from Oracle University.']","['Frankfinn Institute of Airhostess Training', 'Vivekananda Engineering College for Women']"
66,"['Avinashilingam Institute for Home Science & Higher Education for Women', 'Avinashilingam Deemed University -  Coimbatore, Tamil Nadu']","['Avinashilingam Deemed University', 'S.B.K.V higher secondary school', 'Avinashilingam Institute for Home Science & Higher Education for Women\n']"
67,"['College of engineering -  Bhubaneshwar, Orissa']","['ODM Pubic school', 'College of engineering']"
68,"['Nagarjuna University', 'Kakatiya University']","['Kakatiya University', 'Nagarjuna University']"
69,"['• Trained on Java, Plsql, Flexcube for 3 months from Oracle University.', 'D.G Ruparel College', ""Convent Girls' High School"", '• Ethical Hacking and IT Security workshop held at Vidyalankar Institute of Technology on 6th', 'Vidyalankar Institute of Technology on 5th March 2016.', '• Microsoft Technological Associate course held at Vidyalankar Institute of Technology from 16th']","[""Convent Girls' High School"", 'D.G Ruparel College']"
70,"['B V Bhoomaraddi College of Engg and Technology Hubli -  Hubli, Karnataka', 'Visveswaraiah Technological University -  Belgaum, Karnataka']","['Visveswaraiah Technological University -', 'B V Bhoomaraddi College of Engg and Technology Hubli']"
71,"['Indian Institute Of Company Secretory Of India (Appeared)', 'Maharashtra State Government, Pune University -  Pune, Maharashtra', 'Pune University -  Pune, Maharashtra']","['Maharashtra State Government, Pune University', 'Indian Institute Of Company Secretory Of India (Appeared)\n']"
72,['Nagarjuna University'],"['Nagarjuna University\n', 'CDAC']"
73,"['Pondicherry University -  Puducherry, Puducherry', 'Jawaharlal Nehru Technological University']","['Jawaharlal Nehru Technological University', 'Pondicherry University']"
74,"['College of Engineering -  Roorkee, Uttarakhand']",['College of Engineering']
75,[],['Shri gnanambika degree college']
76,"['University of Chicago -  Chicago, IL', 'Indian Institutes of Technology IIT Kanpur']","['Indian Institutes of Technology IIT Kanpur', 'University of Chicago']"
77,"['Thiagarajar School of Management -  Madurai, Tamil Nadu', 'Sri Sathya Sai Institute of Higher Learning -  Anantapur, Andhra Pradesh', 'TVS Lakshmi Matriculation Higher Secondary School -  Madurai, Tamil Nadu', 'TVS Lakshmi Matriculation Higher Secondary School -  Madurai, Tamil Nadu']","['TVS Lakshmi Matriculation Higher Secondary School', 'TVS Lakshmi Matriculation Higher Secondary School', 'Sri Sathya Sai Institute of Higher Learning ', 'Thiagarajar School of Management ']"
78,"['GLA Institute of Technology and Management -  Mathura, Uttar Pradesh']",['GLA Institute of Technology and Management']
79,"['ANNA University', 'Day Adventist Matric Hr.Sec School']","['Day Adventist Matric Hr.Sec School\n', 'ANNA University\n']"
80,"['Nandha Engineering College -  Erode, Tamil Nadu', 'Government Boys Higher Secondary School -  Pallipalayam, Namakkal, IN']","['Government Boys Higher Secondary School ', 'Nandha Engineering College']"
81,"['Vidya Bharati Institute Of Technology -  Hindupur, Andhra Pradesh', 'Hosanna National High School']","['Hosanna National High School', 'Vidya Bharati Institute Of Technology -  Hindupur']"
82,"['Graphic Era University -  Dehra Dun, Uttarakhand']",[]
83,[],['KGISL']
84,[],['GNIT institute of Technology ']
85,"['Madurai Kamaraj University -  Madurai, Tamil Nadu']",['Madurai Kamaraj University']
86,[],['GGSIPU']
87,"['Nitte Meenakshi Institute of Technology -  Bengaluru, Karnataka']",['Nitte Meenakshi Institute of Technology']
88,[],['amity']
89,[],"['VSSUT,burla']"
90,['Osmania University'],['Osmania University']
91,['• Present working at Al-wadi Int School as an Arabic/Islamic teacher.'],[]
92,"['Chairman of LEAD College of Management, Dhoni.', 'These programs were conducted by LEAD College of Management.', 'Calicut University -  Calicut, Kerala']",['Calicut University']
93,[],['C-DAC']
94,"['NMKRV College, Bangalore University -  Bangalore, Karnataka', 'NMKRV College, Bangalore University -  Bangalore, Karnataka']","['NMKRV College, Bangalore University']"
95,[],['JAIN COLLEGE']
96,[],['Trinity engineering college\n']
97,"['Product School -  New York, NY', 'Anna University']","['Anna University', 'Product School']"
98,"['Acharya Nagarjuna University -  Hyderabad, Telangana']",[]
99,"['Shri Vaishnav Institute of Technology and Science, RGPV University -  Indore, Madhya Pradesh', 'Shri Vaishnav Institute of Technology and Science, RGPV University -  Indore, Madhya Pradesh', 'St. Paul H.S. School -  Indore, Madhya Pradesh', 'Shanti Nagar High School, Maharashtra board -  Mumbai, Maharashtra']","['Shri Vaishnav Institute of Technology and Science, RGPV University ', 'IIT Roorkee ']"
100,[],[]
101,"['Christ University Faculty of Engineering -  Bengaluru, Karnataka', 'Delhi Public School -  Kanpur, Uttar Pradesh', 'Delhi Public School -  Kanpur, Uttar Pradesh']",['Christ University Faculty of Engineering ']
102,[],['br day public school']
103,"['East Point College of Engg. & Tech. -  Bengaluru, Karnataka']",['East Point College of Engg. & Tech.']
104,[],['Surendranath college Barrackpore']
105,[],['SR ENGINEERING COLLEGE (SREC)']
106,[],['Gtti -']
107,"['Jaipur Engineering College and Research Center -  Jaipur, Rajasthan', '(WAC) in inter Air Force School football championship', 'Air Force School Jammu -  Jammu, Jammu and Kashmir', 'Air Foce School Jammu -  Jammu, Jammu and Kashmir']",['Jaipur Engineering College and Research Center']
108,[],['chandigarh university ']
109,[],[]
110,[],['Narsee Monji ']
111,"['Osmania University -  Hyderabad, Telangana', 'Osmania University -  Hyderabad, Telangana']","['Osmania University ', 'Osmania University ']"
112,"['Microsoft Virtual Academy', '1. Selected by College (TISL) to train the first-year engineering students under the Finishing', 'School']",['Microsoft Virtual Academy\n']
113,"['Bhagabati Nodal High School,Sarakana']",['Bhagabati Nodal High School']
114,[],['ards collage kadapa']
115,[],"['Magadh univercity ', 'Magadh univercity ']"
116,"['Saurashtra University -  Morbi, Gujarat']",['Saurashtra University']
117,"['➢ Completed training of OCA (9i, 10g) from Oracle University.', 'Vivekananda Engineering College for Women -  Chennai, Tamil Nadu', 'Frankfinn Institute of Airhostess Training -  Calicut, Kerala']","['Frankfinn Institute of Airhostess Training -', 'Vivekananda Engineering College for Women ']"
118,[],['sunder deep group of institution ']
119,[],['\nGRAPHIC ERA UNIVERSITY']
120,[],['IIT Delhi\n']
121,"['College (Osmania University) -  Hyderabad, Andhra Pradesh', 'College (Osmania University) -  Hyderabad, Andhra Pradesh', ""St. Patrick's High School""]",['Osmania University']
122,[],['DAVV']
123,"['Sinhgad Institute', 'Pune University -  Lonavale, Maharashtra']",['Sinhgad Institute\n']
124,"['Periyar University', 'Joydev Road Girls High School -  Barddhaman, West Bengal']",['Periyar University\n']
125,"['SRM University -  Chennai, Tamil Nadu', 'Central Academy School', 'Central Academy School']",['SRM University']
126,[],"['affiliated -  Kota, Rajasthan']"
127,"['Periyar University -  Salem, Tamil Nadu']",['Periyar University ']
128,[],['Vijaya main']
129,[],['Magadh university']
130,"['Gandhi Institute of Science And Technology (GITAM) University', 'Gandhi Institute of Science And Technology (GITAM) University', 'Delta Academy for IIT-JEE', 'St Georges Grammar School']",['Gandhi Institute of Science And Technology (GITAM) University\n']
131,[],[]
132,['Kerala University'],['Kerala University']
133,"['V V Pura College of Science -  Bengaluru, Karnataka']",['V V Pura College of Science']
134,"['KSV University -  Gandhinagar, Gujarat', 'Gujarat University']","['Gujarat University\n', 'KSV University', 'True Vision Technology', 'True Vision Technology']"
135,"['Administrative Management College Bangalore University -  Bengaluru, Karnataka', 'Administrative Management College Bangalore University -  Bengaluru, Karnataka']",['Administrative Management College Bangalore University']
136,"['● Three Days Workshop on Emotional Intelligence organized by Maharashtra Institute of', 'Maharashtra Institute of Technology', 'Deogiri College', 'Chate School']",['Maharashtra Institute of Technology']
137,"['Periyar University', 'Nagarjuna University', 'Andhra University']","['Andhra University', 'Nagarjuna University', 'Periyar University']"
138,[],['Board (university)']
139,[],"['Kerala State', 'Kerala State']"
140,"['in College on National Blood Donation day on 17thNov.2016.', 'Chitkara University', 'Triple M Public School', 'University or Board']",['Chitkara University\n']
141,"['Sri Venkateswara College of Engineering and Technology Affiliated -  Anantapur, Andhra']",['Sri Venkateswara College of Engineering and Technology Affiliated -']
142,"['PES College of Engineering -  Mandya, Karnataka']",['PES College of Engineering -']
143,"['NRI Junior College -  Coimbatore, Tamil Nadu']",[]
144,"['""Store Executive"" - Orange City Hospital & Research Institute', 'Orange City Hospital & Research Institute -  Nagpur, Maharashtra -', 'Inc., Tennessee, USA) from Dec 2004 - Jan 2006. Client: Vanderbilt University Medical Center,', 'S.N.G College, Bharathiar University', 'S.N.G College, Bharathiar University', '❖ Carriage of Dangerous Goods by Road Certification in 2012 from IRU Academy in tie up with']","['S.N.G College, Bharathiar University\n', 'Orange City Hospital & Research Institute', 'Orange City Hospital & Research Institute']"
145,"['Amravati University -  Amravati, Maharashtra']","['Technical Board of Education Bombay ', 'Amravati University -  Amravati, Maharashtra\n']"
146,['affiliated college of Andhra University'],"['Nagarjuna university\n', 'affiliated college of Andhra University']"
147,"['Dev Samaj College for Women -  Chandigarh, Chandigarh']",[]
148,"['F.M. Junior College -  Balasore, Orissa']",['BPUT ']
149,"['• Master of Computer Application (MCA) from Bhilai Institute of Technology, Durg, 2014.', 'Secondary School Certificate in Design Pattern', 'Bhilai Institute of Technology -  Bhilai, Chhattisgarh', 'C V Raman University Bilaspur -  Raman, Punjab', 'Secondary School Certificate']","['Chhattisgarh Board of Secondary Education', 'C V Raman University Bilaspur', 'Bhilai Institute of Technology', 'Chhattisgarh Board of Secondary Education', 'Bhilai Institute of Technology']"
150,['Panimalar Engineering College'],['Panimalar Engineering College']
151,"['Bharathiyar University -  Coimbatore, Tamil Nadu']",['Bharathiyar University ']
152,[],[]
153,"['Shree Binzani nagar College -  Nagpur, Maharashtra', 'Indira Gandhi High School -  Nagpur, Maharashtra', 'Institute / Board']","['Nagpur Polytechnic -  Nagpur, Maharashtra\n']"
154,"['the world: Georgia Tech (Atlanta), Carnegie Mellon University (Pittsburgh), Cornell University', '(Ithaca), University of Southern California (Los Angeles), University of Colorado Boulder', '(Boulder), Arizona State University (Tempe) and University of Illinois Chicago (Chicago).', '• Graduated with Masters degree in Computer Engineering from Georgia Institute of Technology', '• Received Certifications from Stanford University (California), University of Washington', '(Seattle) and University of California San Diego (California)', 'Georgia Institute of Technology -  Atlanta, GA', 'Amrita School of Engineering -  Bengaluru, Karnataka']","['Amrita School of Engineering -', 'Georgia Institute of Technology', 'Georgia Institute of Technology']"
155,"['S.V University -  Tirupati, Andhra Pradesh', 'Margadarshi Junior College']",['S.V University']
156,[],[]
157,"['Jiwaji University -  Shivpuri, Madhya Pradesh']",['Jiwaji University']
158,"['Visvesvaraya Technological University', 'New Horizon College, (Bangalore University) -  Bangalore, Karnataka', 'New Horizon College, (Bangalore University) -  Bangalore, Karnataka', 'Vijnana Vihara School']","['New Horizon College, (Bangalore University)', 'Visvesvaraya Technological University']"
159,['Galgotias University'],['Galgotias University\n']
160,[],[]
161,"['Jaypee Institute Of Information Technology -  Noida, Uttar Pradesh', 'Green Valley Public School -  Bhilwara, Rajasthan', 'New Look Central School -  Bhilwara, Rajasthan']",['Jaypee Institute Of Information Technology ']
162,"['Anna University -  Chennai, Tamil Nadu', 'MS University -  Tirunelveli, Tamil Nadu', 'Sri Kanna Matriculation Higher Secondary School', 'Sri Kanna Matriculation Higher Secondary School']","['MS University ', 'Anna University ']"
163,"['Integrated Learning Program of Birla Institute of Technology and Science, Pilani in 2017', 'Birla Institute -  Pilani, Rajasthan', 'Anna University', 'University u', 'Engineering College -  Coimbatore, Tamil Nadu', 'Matriculation School -  Coimbatore, Tamil Nadu']","['Anna University', 'Birla Institute ', 'Birla Institute ']"
164,"['Tejaa Shakthi Institute of Technology for Womens', 'Kongu Vellalar Mat. Hr. Sec School', 'Board/ University', 'Did Compering in College Events']",['Tejaa Shakthi Institute of Technology for Womens']
165,"['Manipal University -  Bengaluru, Karnataka', 'Saroj Institute of Technology & Management -  Lucknow, Uttar Pradesh', 'Lucknow Public Inter College -  Lucknow, Uttar Pradesh']","['Lucknow Public Inter College', '2011', 'Saroj Institute of Technology & Management ', 'Manipal University']"
166,"['NMAM Institute of Technology', 'Poorna Prajna PU College Admar', 'Ganapathi High School Padubidri']",['NMAM Institute of Technology\n']
167,['University of Rajasthan'],['University of Rajasthan']
168,"['Kurukshetra University -  Kurukshetra, Haryana', 'Tagore Public School -  Pehowa, Haryana']",['Kurukshetra University']
169,"['PSG College of Technology -  Coimbatore, Tamil Nadu', 'PSG College of Technology -  Coimbatore, Tamil Nadu', 'SBOA Mat. Hr. Sec School -  Coimbatore, Tamil Nadu', 'SBOA Mat. Hr. Sec School -  Coimbatore, Tamil Nadu']",[]
170,[],"['PSG COLLEGE OF TECHNOLOGY, ANNA UNIVERSITY ']"
171,[],[]
172,[],[]
173,[],"['Board of Technical Education\n', 'BITS Pilani']"
174,['West Bengal State University'],['West Bengal State University\n']
175,[],[]
176,"['shivaji University -  Kolhapur, Maharashtra']",['shivaji University']
177,[],['SRIKALAHASTEESWARA INSTITUTE OF TECHNOLOGY']
178,['School'],['School']
179,"['College', 'School']",['Ramkrishna krida High']
180,"['System Administrator (Server) Microsoft - Nehru Memorial College', 'Nehru Memorial College Puthanampatti -', 'Adi Sankara Polytechnic College -  Tiruchchirappalli, Tamil Nadu']","['Adi Sankara Polytechnic College ', 'ST.Joseph college ']"
181,"['❖ Captain of School Cricket Team.', 'Indraprastha Public School', 'Uttrakhand Technical University', 'Indraprastha Public School']","['\nIndraprastha Public School', 'Uttrakhand Technical University\n', '\nIndraprastha Public School']"
182,"['Pune University -  Pune, Maharashtra']",[]
183,"['Acharya Nagarjuna University', 'Acharya Nagarjuna University -  Pune, Maharashtra', 'Secondary School of Education']","['Acharya Nagarjuna University', 'Acharya Nagarjuna University']"
184,"['Sreenidhi Institute of science and technology -  Hyderabad, Telangana', 'Narayana Junior College -  Hyderabad, Telangana']","['Sreenidhi Institute of science and technology', 'Indian Terrain Fashions Limited -\n']"
185,"['Bishop Ambrose College, Bharathiar University -  Coimbatore, Tamil Nadu', 'Bishop Ambrose College, Bharathiar University -  Coimbatore, Tamil Nadu']","['Bishop Ambrose College, Bharathiar University']"
186,"[""RCPET's I.M.R.D College -  Jalgaon, Maharashtra"", 'Palesh Commerce College -  Dhule, Maharashtra', 'Jai Hind College -  Dhule, Maharashtra', 'Ram Chandra keshav citale High School -  Jalgaon, Maharashtra']","['Palesh Commerce College', ""RCPET's I.M.R.D College""]"
187,[],[]
188,[],[]
189,"['Indraprastha Engineering College, Uttar Pradesh Technical University -  Ghaziabad, Uttar', 'Indraprastha Engineering College, Uttar Pradesh Technical University -  Ghaziabad, Uttar', 'Greenfields Public School -  New Delhi, Delhi']","['Indraprastha Engineering College, Uttar Pradesh Technical University']"
190,[],[]
191,"['Ballygunge Science College -  Kolkata, West Bengal', 'Barrackpore Rastraguru Surendranath College -  Barakpur, West Bengal', 'Army Public School -  Barakpur, West Bengal', ""St. Paul's Academy -  Patna, Bihar"", 'Board/ University']","[""St. Paul's Academy"", 'Army Public School ', 'Barrackpore Rastraguru Surendranath College ', 'Ballygunge Science College ']"
192,"['Sikkim Manipal University', 'University of Calcutta -  Kolkata, West Bengal']","['University of Calcutta', 'Sikkim Manipal University']"
193,"['Government Engineering College Bhuj -  Bhuj, Gujarat']",['Government Engineering College Bhuj']
194,"['MG University', 'National Dairy Research Institute Karnal: Posted as A Network and System Maintenance']",[]
195,[],[]
196,"['Bharathiar University Coimbatore -  Coimbatore, Tamil Nadu', 'Ramakrishna College -  Coimbatore, Tamil Nadu', 'Stanes Anglo Indian High School -  Coimbatore, Tamil Nadu']","['Ramakrishna College', 'Bharathiar University']"
197,"['Jawaharlal Nehru Technological University -  Hyderabad, Telangana']",['Jawaharlal Nehru Technological University ']
